Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
RNA binding (GO:0003723),47/1406,2.645306961344256e-13,8.068186232099981e-11,0,0,4.061336782853634,117.61963985984131,EIF4A2;TOP2A;DDX6;ZCCHC7;TFRC;DHX9;HMGB2;HNRNPU;NUCKS1;ENO1;HMGB1;YBX1;YBX3;GSPT1;RBM3;HNRNPDL;IFI16;PRDX1;RPL15;MBNL3;HMGN2;HNRNPA1;SF3B1;EIF4B;TNS1;RBM38;JUN;PARP1;XRCC5;NONO;NAP1L1;H1-0;EIF1;EEF1A1;HNRNPK;EIF5;EIF2S3;PKM;NCL;CANX;MKRN1;HDGF;PABPC1;SRSF5;PPIA;RBMX;DCP2
MHC class II receptor activity (GO:0032395),5/10,2.5411484765388696e-8,3.875251426721776e-6,0,0,99.45226130653266,1739.2275712393991,HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
cadherin binding (GO:0045296),16/322,2.1593943464476153e-7,1.8417678428583914e-5,0,0,5.420664719788625,83.1978141188597,DDX6;HSPA5;ENO1;IQGAP1;SEPTIN9;HNRNPK;EIF5;EIF2S3;PKM;PRDX1;CTNNB1;ESYT2;RPL15;CLIC1;SPTAN1;TMPO
DNA binding (GO:0003677),26/811,2.415433236535595e-7,1.8417678428583914e-5,0,0,3.537436484648966,53.897149854065454,TOP2A;CIITA;PCNA;MCM7;DHX9;LEF1;HMGB2;HNRNPU;NUCKS1;HMGB1;YBX1;MACROH2A1;IFI16;H2BC21;HNRNPA1;XBP1;JUN;XRCC5;H1-0;MSH6;ZEB2;IRF1;H2BC11;HDGF;ERG;SSBP2
transcription regulatory region nucleic acid binding (GO:0001067),12/212,1.934867331697432e-6,1.1802690723354336e-4,0,0,6.12375,80.56082041236743,RNF10;JUN;CIITA;DHX9;XRCC5;NONO;IRF1;HMGB2;HMGB1;MACROH2A1;SOX4;SNCA
single-stranded DNA binding (GO:0003697),8/97,6.787175306779779e-6,3.4501474476130546e-4,0,0,9.037835358862646,107.5545401662365,MCM7;DHX9;HMGB2;HNRNPU;NUCKS1;HMGB1;HNRNPA1;SSBP2
"DNA binding, bending (GO:0008301)",4/16,1.737521160277515e-5,6.87480136998106e-4,0,0,32.973333333333336,361.4030985113359,TOP2A;LEF1;HMGB2;HMGB1
protein kinase binding (GO:0019901),17/506,1.8234331565376434e-5,6.87480136998106e-4,0,0,3.5893288715374605,39.16749027294592,TOP2A;PPP1R15A;TFRC;PARP1;PRKCB;ADAM10;IQGAP1;ADIPOR1;MACROH2A1;RHOA;EEF1A1;CYLD;TCL1A;CCND3;WNK1;UTRN;FBXO7
kinase binding (GO:0019900),16/461,2.18452760860781e-5,6.87480136998106e-4,0,0,3.7008845326320823,39.71613805656452,PPP1R15A;TFRC;PARP1;ADAM10;IQGAP1;ADIPOR1;MACROH2A1;RHOA;EEF1A1;CYLD;TCL1A;CCND3;WNK1;CTNNB1;UTRN;FBXO7
MHC class II protein complex binding (GO:0023026),4/17,2.2540332360593638e-5,6.87480136998106e-4,0,0,30.435384615384617,325.66483345827663,CD74;PKM;HLA-DRA;HLA-DRB1
