Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
RNA binding (GO:0003723),59/1406,4.151596097563717e-55,3.902500331709894e-53,0,0,58.13023650440132,7278.9919047612575,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;TMSB4X;RACK1;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL24;RPL27;PABPC1;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;EIF4B;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;EIF2S3;RPL27A;RPS20;RPS24;RPS23
rRNA binding (GO:0019843),9/42,2.793035736670708e-14,1.3127267962352328e-12,0,0,84.77556818181819,2645.7659821180678,RPL5;RPS14;RPL12;RPL23;RPS5;RPL11;RPLP0;RPS3;RPS13
ubiquitin ligase inhibitor activity (GO:1990948),6/8,5.333123155921228e-14,1.6710452555219847e-12,0,0,892.1641791044776,27266.548498966626,RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
ubiquitin-protein transferase inhibitor activity (GO:0055105),6/9,1.595391507119244e-13,3.749170041730224e-12,0,0,594.7462686567164,17525.083219719738,RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
mRNA binding (GO:0003729),12/263,1.877868724339309e-10,3.530393201757901e-9,0,0,15.421069819084318,345.3658608137102,RPL5;RPS14;RPL41;RPS7;RPS5;RPS3;RPL13A;RPS3A;PABPC1;RPS2;RPS13;RPL7
mRNA 5'-UTR binding (GO:0048027),6/25,3.2129434046181895e-10,5.03361133390183e-9,0,0,93.8318931657502,2051.039774943278,RPL5;RPS14;RPL41;RPS7;RPS3A;RPS13
cadherin binding (GO:0045296),12/322,1.8885754835661657e-9,2.5360870779317083e-8,0,0,12.448651507139079,250.06157763201278,RPL7A;EIF2S3;RPL34;RACK1;RPL14;RPL24;RPL23A;RPL15;RPS2;RPL29;EEF2;RPL6
large ribosomal subunit rRNA binding (GO:0070180),3/5,4.640464975888469e-7,5.452546346668951e-6,0,0,426.9642857142857,6226.540189445254,RPL12;RPL23;RPLP0
small ribosomal subunit rRNA binding (GO:0070181),3/9,3.857340151791266e-6,4.028777491870878e-5,0,0,142.29285714285714,1773.7562625323076,RPS14;RPS3;RPS13
translation elongation factor activity (GO:0003746),3/14,1.649737171359446e-5,1.5507529410778792e-4,0,0,77.59480519480519,854.498008832388,EEF1A1;EEF1B2;EEF2
mRNA 3'-UTR binding (GO:0003730),4/85,2.6450737822243604e-4,0.0022603357775371805,0,0,14.203614242261585,117.00428088317985,RPL5;RPL41;RPS7;PABPC1
5S rRNA binding (GO:0008097),2/9,4.6527396164461245e-4,0.0036446460328827973,0,0,80.16096579476861,615.0658047802893,RPL5;RPL11
protein kinase binding (GO:0019901),8/506,5.048504403446203e-4,0.0036504570301841774,0,0,4.80172999691072,36.451124821531266,EEF1A1;RPS19;RPS7;RPS6;RACK1;RPS3;EEF2;ACTB
ribosome binding (GO:0043022),3/48,7.171374945308558e-4,0.004815066034707174,0,0,18.935238095238095,137.0957245442315,RACK1;RPSA;EEF2
kinase binding (GO:0019900),7/461,0.0014513269883614816,0.009094982460398618,0,0,4.549158990788947,29.730014015714506,EEF1A1;RPS19;RPS7;RPS6;RPS3;EEF2;ACTB
fibroblast growth factor binding (GO:0017134),2/21,0.002638278864357178,0.01549988832809842,0,0,29.515196441808747,175.25027215896412,RPS19;RPS2
nucleosomal DNA binding (GO:0031492),2/33,0.006448617710717616,0.0356570626357327,0,0,18.07905497501136,91.18875518880436,ACTB;H3-3A
tRNA binding (GO:0000049),2/49,0.013833808022784779,0.07224321967454274,0,0,11.914893617021276,51.00336814079256,EEF1A1;EIF2S3
ubiquitin protein ligase binding (GO:0031625),4/265,0.01606581289755988,0.07556089993561603,0,0,4.368038203120662,18.04463526897019,RPL5;RPL23;RPL11;RPS27A
RNA strand annealing activity (GO:0033592),1/5,0.018118915662048707,0.07556089993561603,0,0,69.17708333333333,277.45536435713205,EIF4B
protein tyrosine kinase inhibitor activity (GO:0030292),1/5,0.018118915662048707,0.07556089993561603,0,0,69.17708333333333,277.45536435713205,RACK1
annealing activity (GO:0097617),1/5,0.018118915662048707,0.07556089993561603,0,0,69.17708333333333,277.45536435713205,EIF4B
ubiquitin-like protein ligase binding (GO:0044389),4/282,0.019705120071199293,0.07556089993561603,0,0,4.0973829631946614,16.0899179961038,RPL5;RPL23;RPL11;RPS27A
chitinase activity (GO:0004568),1/6,0.02170366274746418,0.07556089993561603,0,0,55.33888888888889,211.9631207182121,CHI3L2
BH domain binding (GO:0051400),1/6,0.02170366274746418,0.07556089993561603,0,0,55.33888888888889,211.9631207182121,RACK1
BH3 domain binding (GO:0051434),1/6,0.02170366274746418,0.07556089993561603,0,0,55.33888888888889,211.9631207182121,RACK1
supercoiled DNA binding (GO:0097100),1/6,0.02170366274746418,0.07556089993561603,0,0,55.33888888888889,211.9631207182121,RPS3
nitric-oxide synthase binding (GO:0050998),1/7,0.025275502302547336,0.08485347201569463,0,0,46.113425925925924,169.6014749165987,ACTB
oxidized DNA binding (GO:0032356),1/8,0.028834479875414456,0.0903480369429653,0,0,39.523809523809526,140.15867684434946,RPS3
DNA N-glycosylase activity (GO:0019104),1/8,0.028834479875414456,0.0903480369429653,0,0,39.523809523809526,140.15867684434946,RPS3
oxidized purine DNA binding (GO:0032357),1/10,0.03591403083014349,0.1054974655635465,0,0,30.737654320987655,102.25271781730339,RPS3
Tat protein binding (GO:0030957),1/10,0.03591403083014349,0.1054974655635465,0,0,30.737654320987655,102.25271781730339,ACTB
death domain binding (GO:0070513),1/11,0.039434694821538385,0.10902533274190024,0,0,27.6625,89.43588520720674,RACK1
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906),1/11,0.039434694821538385,0.10902533274190024,0,0,27.6625,89.43588520720674,RPS3
GTPase activity (GO:0003924),3/216,0.044525131725836845,0.11958178234939038,0,0,3.966599597585513,12.342873883362167,EEF1A1;ARHGDIB;EEF2
GDP-dissociation inhibitor activity (GO:0005092),1/13,0.04643802536608,0.12125484401143112,0,0,23.04976851851852,70.7544140609547,ARHGDIB
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979),1/14,0.04992078172269975,0.12348824952457307,0,0,21.275641025641026,63.76985958511893,H3-3A
deoxyribonuclease activity (GO:0004536),1/14,0.04992078172269975,0.12348824952457307,0,0,21.275641025641026,63.76985958511893,RPS3
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656),1/15,0.05339099174661933,0.1286859801072363,0,0,19.754960317460316,57.88427080418689,RACK1
"hydrolase activity, hydrolyzing N-glycosyl compounds (GO:0016799)",1/16,0.056848699968537475,0.13359444492606307,0,0,18.437037037037037,52.8656580429068,RPS3
ribosomal small subunit binding (GO:0043024),1/17,0.06029395078422422,0.1349436041361209,0,0,17.283854166666668,48.54211057952261,EIF4B
